experiment,condition,subject,block,p,nll,bic,model
1,new_learn,30,0,24.543247223869454,48.43546997497977,106.08128032193572,nll_unix_1
1,new_learn,30,0,49.22593087422914,79.79584116046539,168.80202269290695,nll_uniy_0
1,new_learn,30,0,38.740883373862815,79.79584116046539,168.80202269290695,nll_uniy_0
1,new_learn,30,0,47.98146483198932,81.178527013631,171.56739439923817,nll_uniy_1
1,new_learn,30,0,38.759175444661246,81.178527013631,171.56739439923817,nll_uniy_1
1,new_learn,30,0,-0.9464883075472571,45.01050864607353,103.83652785011134,nll_glc_0
1,new_learn,30,0,31.362662915924734,45.01050864607353,103.83652785011134,nll_glc_0
1,new_learn,30,0,20.074802316583572,45.01050864607353,103.83652785011134,nll_glc_0
1,new_learn,30,0,0.9999996029967062,48.45288215544027,110.72127486884482,nll_glc_1
1,new_learn,30,0,-49.7007579950022,48.45288215544027,110.72127486884482,nll_glc_1
1,new_learn,30,0,24.917800107261332,48.45288215544027,110.72127486884482,nll_glc_1
1,new_learn,30,0,48.33664380501322,50.55372975387272,114.92297006570972,nll_gcc_eq_0
1,new_learn,30,0,0.005240623670260902,50.55372975387272,114.92297006570972,nll_gcc_eq_0
1,new_learn,30,0,21.9643323031751,50.55372975387272,114.92297006570972,nll_gcc_eq_0
1,new_learn,30,0,99.97900060874275,85.33919983803204,184.49391023402836,nll_gcc_eq_1
1,new_learn,30,0,40.275020481389674,85.33919983803204,184.49391023402836,nll_gcc_eq_1
1,new_learn,30,0,38.7608574012916,85.33919983803204,184.49391023402836,nll_gcc_eq_1
1,new_learn,30,0,43.90328568297508,43.584146572102306,100.98380370216888,nll_gcc_eq_2
1,new_learn,30,0,86.951215954176,43.584146572102306,100.98380370216888,nll_gcc_eq_2
1,new_learn,30,0,17.204582648102445,43.584146572102306,100.98380370216888,nll_gcc_eq_2
1,new_learn,30,0,99.97980025188055,87.87781887404901,189.5711483060623,nll_gcc_eq_3
1,new_learn,30,0,54.06719690350954,87.87781887404901,189.5711483060623,nll_gcc_eq_3
1,new_learn,30,0,38.70747909731115,87.87781887404901,189.5711483060623,nll_gcc_eq_3
1,new_learn,32,2,0.25385880415983725,69.31471805599453,138.62943611198907,nll_rand_guess
1,new_learn,32,2,0.4812323917366104,69.23500091453879,143.07517201506568,nll_bias_guess
1,new_learn,32,2,43.443673461720714,113.31147688993934,235.83329415185486,nll_unix_0
1,new_learn,32,2,36.7444612888758,113.31147688993934,235.83329415185486,nll_unix_0
1,new_learn,32,2,45.6650267536024,46.31553030084285,101.84140097366189,nll_unix_1
